adc_rival,dificultad_1_10,win_rate_master_pct,arma_apertura,build_recomendada,objeto_clave_contra,objeto_clave_contra_2,support_sinergia,support_contador,tip_pro,fase_critica
Caitlyn,8,47.2,Calibrum,Anti-Asesinos,Filo de la Noche,Velo de la Muerte,Lulu,Thresh,"Farmea pasivo con Calibrum hasta Kraken Slayer. Nunca peques bajo su trampa. R de escape si te ulta ella.",Early (1-9)
Jinx,5,51.8,Severum,Anti-Tanques,Kraken Slayer,Recaudador,Thresh,Lulu,"Gana el nivel 2 con presion de Severum. Presiona antes de que Jinx acumule velocidad de ataque.",Mid (9-13)
Jhin,5,50.3,Calibrum,Anti-Tanques,Kraken Slayer,Lord Dominik,Karma,Pyke,"Matchup de poke largo. Gana el trade si Jhin ya uso sus 4 balas. Post-3 items dominas.",Late (25+)
Ezreal,5,49.6,Gravitum,Anti-Tanques,Lord Dominik,Filo Mortal,Yuumi,Nautilus,"Rootea con Gravitum cuando use su E (guion). Sin dash esta completamente vulnerable a tu CC.",Early (1-9)
Tristana,8,46.1,Severum,Supervivencia,Velo de la Muerte,Guardians del Angel,Lux,Rakan,"Critico el nivel 6 su burst es letal. Post-6 nunca pelees sin Flash. Usa Severum para curar trades.",Late (25+)
Vayne,8,45.8,Infernum,Anti-Tanques,Lord Dominik,Kraken Slayer,Thresh,Yuumi,"AoE de Infernum anula su invis lateral de W. Presiona antes nivel 6. Post-6 juega muy conservador.",Late (25+)
Sivir,3,54.2,Severum,Full Snowball,Kraken Slayer,Filo Mortal,Nami,Leona,"Gana pre-6 con presion constante de Severum. Post-6 usa tu R para iniciar. Matchup favorable claro.",Early (1-9)
Ashe,3,53.7,Calibrum,Full Snowball,Kraken Slayer,Filo Mortal,Nautilus,Lulu,"Rango similar pero Calibrum supera su Q de ralentizacion en poke. Gana trades cortos con Severum.",Mid (9-13)
Miss Fortune,5,50.9,Gravitum,Anti-Tanques,Lord Dominik,Kraken Slayer,Seraphine,Leona,"Rootearla con Gravitum anula completamente su R Ultimate. Matchup ganado si tu support tiene CC.",Mid (9-13)
Kaisa,8,47.8,Infernum,Supervivencia,Filo de la Noche,Velo de la Muerte,Thresh,Yuumi,"AoE de Infernum contra su movilidad de W. Nunca la persigas bajo torre. Prefiere farmear.",Late (25+)
Samira,10,43.2,Calibrum,Supervivencia,Filo de la Noche,Velo de la Muerte,Lulu,Leona,"NUNCA pelea cuerpo a cuerpo contra Samira. Farmea desde lejos con Calibrum todo el laning phase.",Mid (9-13)
Zeri,5,50.1,Gravitum,Anti-Tanques,Kraken Slayer,Lord Dominik,Lulu,Nami,"Su movilidad excesiva se neutraliza con root de Gravitum. Espera que use su dash antes de rootear.",Late (25+)
Draven,8,46.5,Severum,Supervivencia,Velo de la Muerte,Filo de la Noche,Thresh,Blitzcrank,"Critico el nivel 2 su burst es extremo. Prioritize curar con Severum no hacer trades agresivos.",Early (1-9)
Twitch,2,55.1,Infernum,Full Snowball,Kraken Slayer,Filo Mortal,Nami,Thresh,"AoE de Infernum destruye su invis pasiva. Gana pre-6 facilmente. Mata al support para snowball.",Early (1-9)
Kogmaw,5,51.3,Calibrum,Anti-Tanques,Lord Dominik,Kraken Slayer,Lulu,Karma,"Outrange su W con Calibrum durante laning. Mata al support primero para dejar a Kog sin peel.",Late (25+)
Nilah,9,44.7,Severum,Supervivencia,Velo de la Muerte,Guardians del Angel,Leona,Thresh,"Evasion de sus habilidades es absolutamente critica. Juega muy pasivo todo el laning. Snowball solo post-3 items.",Late (25+)
Lucian,8,46.9,Calibrum,Supervivencia,Filo de la Noche,Velo de la Muerte,Nami,Nautilus,"Su burst nivel 2 con Nami es mortal. Farmea seguro con Calibrum hasta tener Filo de la Noche completo.",Early (1-9)
Xayah,5,50.7,Gravitum,Anti-Tanques,Lord Dominik,Kraken Slayer,Rakan,Thresh,"Su R de invulnerabilidad no evita el root si GRAVITUM ya esta aplicado antes. Timing del Q es clave.",Mid (9-13)
